unique_song_id,song_title,artist,primary_theme,secondary_theme,primary_emotion,emotional_valence,agency,relationship_focus,message_orientation,message_score,value_signal,evidence_basis,confidence_score,human_review_needed,rationale,source_batch_file
1,Luther,Kendrick Lamar & SZA,Romantic Love & Devotion,Desire & Intimacy,Hope,2,High,Stable Love,Constructive/Encouraging,2,Love/Commitment,Lyrics + Context,4,No,Duet expresses devoted romantic love and mutual support in a warm affectionate tone.,classified_batch_01.csv
2,TV Off,Kendrick Lamar featuring Lefty Gunplay,Confidence/Boldness/Pride,Conflict/Revenge/Defiance,Confidence,0,High,No Romantic/Intimate Focus,Ambiguous/Mixed,0,Self-Worth,Context Only,3,Yes,Boastful high-energy track using slang and confrontational posturing to assert confidence and dominance.,classified_batch_01.csv
3,Not Like Us,Kendrick Lamar,Conflict/Revenge/Defiance,Confidence/Boldness/Pride,Anger,-1,High,No Romantic/Intimate Focus,Potentially Concerning,-2,Revenge/Conflict,Lyrics + Context,4,Yes,Widely known diss track centered on rivalry accusations and retaliation against another artist.,classified_batch_01.csv
4,Squabble Up,Kendrick Lamar,Confidence/Boldness/Pride,Conflict/Revenge/Defiance,Confidence,1,High,No Romantic/Intimate Focus,Ambiguous/Mixed,0,Self-Worth,Context Only,3,Yes,High-energy track using street slang and swagger to project confidence and toughness.,classified_batch_01.csv
5,Nokia,Drake,Desire & Intimacy,Celebration & Pleasure,Desire,1,High,Desire,Pleasure/Escapist,-1,Desire/Pleasure,Lyrics + Context,4,No,Upbeat song about pursuing a romantic connection through texting and playful attraction.,classified_batch_01.csv
6,All the Way,BigXthaPlug featuring Bailey Zimmerman,Heartbreak & Loss,Conflict/Revenge/Defiance,Mixed,-2,Mixed,Separation,Critical/Reflective,0,Growth/Accountability,Lyrics + Context,4,No,Genre-blending breakup anthem demanding an honest clean break amid anger and heartbreak.,classified_batch_02.csv
7,Sticky,"Tyler, the Creator featuring GloRilla, Sexyy Red & Lil Wayne",Confidence/Boldness/Pride,Desire & Intimacy,Confidence,1,High,Desire,Ambiguous/Mixed,0,Desire/Pleasure,Lyrics + Context,4,Yes,High-energy posse cut blending sexual bravado confident swagger and confrontational posturing toward critics.,classified_batch_02.csv
8,Whatchu Kno About Me,GloRilla & Sexyy Red,Status/Wealth/Success,Confidence/Boldness/Pride,Confidence,2,High,No Romantic/Intimate Focus,Ambiguous/Mixed,0,Status/Materialism,Lyrics + Context,4,No,Celebratory anthem flaunting wealth beauty and success with unapologetic confident swagger.,classified_batch_02.csv
9,Peekaboo,Kendrick Lamar featuring AzChike,Conflict/Revenge/Defiance,Confidence/Boldness/Pride,Confidence,-1,High,No Romantic/Intimate Focus,Potentially Concerning,-2,Revenge/Conflict,Lyrics + Context,4,Yes,Aggressive dominance track blending street violence threats confident swagger and industry critique.,classified_batch_02.csv
10,Denial Is a River,Doechii,Identity & Self-Discovery,Pain/Numbness/Escapism,Mixed,-1,Mixed,Separation,Critical/Reflective,0,Growth/Accountability,Lyrics + Context,4,Yes,Therapy-style verses process self-deception addiction and past betrayal with humor and self-awareness.,classified_batch_02.csv
11,Timeless,The Weeknd & Playboi Carti,Status/Wealth/Success,Confidence/Boldness/Pride,Confidence,1,High,No Romantic/Intimate Focus,Ambiguous/Mixed,0,Status/Materialism,Lyrics + Context,4,Yes,Braggadocious anthem about fame wealth and legacy with brief hints of substance use and inner struggle.,classified_batch_03.csv
12,Mutt,Leon Thomas,Romantic Love & Devotion,Identity & Self-Discovery,Longing,0,Mixed,New Love,Critical/Reflective,1,Growth/Accountability,Lyrics + Context,4,Yes,Soulful track uses a dog metaphor for messy self-aware vulnerability and effort to trust in love.,classified_batch_03.csv
13,30 for 30,SZA with Kendrick Lamar,Confidence/Boldness/Pride,Conflict/Revenge/Defiance,Confidence,1,High,No Romantic/Intimate Focus,Ambiguous/Mixed,0,Self-Worth,Lyrics + Context,4,Yes,Confident duet asserting self-worth and cutting off inauthentic people amid embedded industry rivalry references.,classified_batch_03.csv
14,Cry for Me,The Weeknd,Heartbreak & Loss,Pain/Numbness/Escapism,Sadness,-2,Low,Separation,Potentially Concerning,-2,Numbness/Avoidance,Lyrics + Context,4,Yes,Raw breakup ballad using alcohol and isolation to cope with heartbreak longing and self-destructive despair.,classified_batch_03.csv
15,Burning Blue,Mariah the Scientist,Romantic Love & Devotion,Desire & Intimacy,Desire,1,Mixed,New Love,Ambiguous/Mixed,0,Love/Commitment,Lyrics + Context,3,Yes,Passionate love song about lowering emotional guard and devoted loyalty amid romantic risk.,classified_batch_03.csv
16,Somebody Loves Me,"PARTYNEXTDOOR, Drake & Cash Cobain",Celebration & Pleasure,Romantic Love & Devotion,Mixed,0,Mixed,Desire,Ambiguous/Mixed,-1,Freedom/Escape,Lyrics + Context,3,Yes,Toxic party anthem blending wealth flexing and casual hookups with genuine longing for real love.,classified_batch_04.csv
17,Like Him,"Tyler, the Creator featuring Lola Young",Identity & Self-Discovery,Hope/Healing/Resilience,Mixed,-1,Mixed,No Romantic/Intimate Focus,Critical/Reflective,1,Growth/Accountability,Lyrics + Context,4,Yes,Reflective ballad processes identity and an absent father before resolving toward self-acceptance and family forgiveness.,classified_batch_04.csv
18,Heart of a Woman,Summer Walker,Romantic Love & Devotion,Heartbreak & Loss,Sadness,-1,Mixed,Conflict,Potentially Concerning,-1,Love/Commitment,Lyrics + Context,4,Yes,R&B ballad about staying in a toxic relationship enduring mistreatment out of deep love and loyalty.,classified_batch_04.csv
19,Residuals,Chris Brown,Heartbreak & Loss,Pain/Numbness/Escapism,Longing,-2,Low,Separation,Ambiguous/Mixed,-1,Numbness/Avoidance,Lyrics + Context,4,Yes,Breakup ballad reflecting on lingering attachment and jealousy over an ex's new relationship.,classified_batch_04.csv
20,Folded,Kehlani,Heartbreak & Loss,Hope/Healing/Resilience,Longing,-1,Mixed,Missing Someone,Ambiguous/Mixed,0,Love/Commitment,Lyrics + Context,4,No,Tender post-breakup ballad expressing vulnerable longing and hope for reconciliation with an ex.,classified_batch_04.csv
21,A Bar Song (Tipsy),Shaboozey,Pain/Numbness/Escapism,Celebration & Pleasure,Mixed,0,Low,No Romantic/Intimate Focus,Pleasure/Escapist,-1,Freedom/Escape,Lyrics + Context,4,Yes,Upbeat bar anthem masking financial stress and work fatigue through drinking as escapism per artist's own comments.,classified_batch_05.csv
22,Love Somebody,Morgan Wallen,Romantic Love & Devotion,Pain/Numbness/Escapism,Longing,-1,Mixed,New Love,Constructive/Encouraging,1,Love/Commitment,Lyrics + Context,4,No,Wallen expresses genuine longing for authentic lasting love beyond superficial fame-driven encounters.,classified_batch_05.csv
23,I'm the Problem,Morgan Wallen,Conflict/Revenge/Defiance,Heartbreak & Loss,Mixed,-1,Mixed,Conflict,Potentially Concerning,-1,Confusion/Instability,Lyrics + Context,4,Yes,Toxic breakup ballad feigns accountability before shifting blame back onto his ex in a mutual blame cycle.,classified_batch_05.csv
24,I Had Some Help,Post Malone featuring Morgan Wallen,Conflict/Revenge/Defiance,Heartbreak & Loss,Mixed,-1,Mixed,Conflict,Critical/Reflective,0,Growth/Accountability,Lyrics + Context,4,No,Bitter but catchy breakup duet acknowledging mutual blame and alcohol-fueled dysfunction in a failed relationship.,classified_batch_05.csv
25,Just in Case,Morgan Wallen,Heartbreak & Loss,Pain/Numbness/Escapism,Longing,-1,Low,Missing Someone,Critical/Reflective,0,Numbness/Avoidance,Lyrics + Context,4,No,Reflective ballad about staying emotionally guarded and using casual encounters while still hoping an ex returns.,classified_batch_05.csv
26,Good News,Shaboozey,Social Struggle/Survival,Pain/Numbness/Escapism,Sadness,-1,Mixed,No Romantic/Intimate Focus,Critical/Reflective,0,Survival/Struggle,Context Only,2,Yes,Narrator reflects on hardship and weariness while hoping circumstances eventually improve,classified_batch_06.csv
27,What I Want,Morgan Wallen featuring Tate McRae,Desire & Intimacy,Romantic Love & Devotion,Desire,1,Mixed,Desire,Pleasure/Escapist,-1,Desire/Pleasure,Context Only,2,Yes,Song centers mutual romantic attraction and wanting someone despite uncertainty,classified_batch_06.csv
28,I Got Better,Morgan Wallen,Heartbreak & Loss,Hope/Healing/Resilience,Hope,1,High,Separation,Constructive/Encouraging,1,Growth/Accountability,Context Only,2,Yes,Narrator describes personal growth and moving forward confidently after a breakup,classified_batch_06.csv
29,I Never Lie,Zach Top,Desire & Intimacy,Confidence/Boldness/Pride,Confidence,1,High,Desire,Pleasure/Escapist,-1,Desire/Pleasure,Context Only,2,Yes,Playful confident song about openly expressing romantic attraction without pretense,classified_batch_06.csv
30,Birds of a Feather,Billie Eilish,Romantic Love & Devotion,Desire & Intimacy,Longing,1,High,Stable Love,Ambiguous/Mixed,0,Love/Commitment,Lyrics + Context,3,Yes,Song expresses intense devotion and desire to stay together though the tone carries a dark edge,classified_batch_06.csv
31,Too Sweet,Hozier,Pain/Numbness/Escapism,Confidence/Boldness/Pride,Mixed,0,Mixed,Conflict,Ambiguous/Mixed,-1,Freedom/Escape,Context Only,2,Yes,Narrator embraces late night vices and personal flaws while a partner represents a healthier path,classified_batch_07.csv
32,Stargazing,Myles Smith,Hope/Healing/Resilience,Celebration & Pleasure,Hope,2,High,No Romantic/Intimate Focus,Constructive/Encouraging,2,Hope/Resilience,Context Only,2,Yes,Uplifting anthem encouraging optimism and looking toward brighter possibilities ahead,classified_batch_07.csv
33,Wildflower,Billie Eilish,Heartbreak & Loss,Identity & Self-Discovery,Sadness,-1,Mixed,Conflict,Critical/Reflective,0,Confusion/Instability,Context Only,2,Yes,Song reflects on complicated lingering emotions tied to a past relationship and its aftermath,classified_batch_07.csv
34,Messy,Lola Young,Identity & Self-Discovery,Romantic Love & Devotion,Anxiety,-1,Mixed,Conflict,Critical/Reflective,0,Self-Worth,Context Only,2,Yes,Song grapples with insecurity and self-acceptance around being seen as too much by a partner,classified_batch_07.csv
35,No One Noticed,The Marías,Desire & Intimacy,Identity & Self-Discovery,Longing,0,Mixed,New Love,Ambiguous/Mixed,0,Confusion/Instability,Limited Evidence,1,Yes,Song appears to explore a quiet romantic connection developing though specific details are uncertain,classified_batch_07.csv
36,Sailor Song,Gigi Perez,Desire & Intimacy,Romantic Love & Devotion,Desire,1,Mixed,Desire,Ambiguous/Mixed,0,Desire/Pleasure,Context Only,2,Yes,Song expresses intense romantic desire and devotion using imagery of being pulled toward someone,classified_batch_08.csv
37,Liar,Jelly Roll,Identity & Self-Discovery,Pain/Numbness/Escapism,Sadness,-1,Low,Conflict,Critical/Reflective,0,Confusion/Instability,Limited Evidence,1,Yes,Song appears to grapple with dishonesty and internal struggle though specific narrative details are uncertain,classified_batch_08.csv
38,Undressed,sombr,Desire & Intimacy,Romantic Love & Devotion,Desire,1,Mixed,Desire,Pleasure/Escapist,-1,Desire/Pleasure,Context Only,2,Yes,Song centers romantic and physical intimacy and the vulnerability of being fully known by a partner,classified_batch_08.csv
39,Back to Friends,sombr,Heartbreak & Loss,Identity & Self-Discovery,Sadness,-1,Low,Separation,Critical/Reflective,0,Confusion/Instability,Context Only,2,Yes,Song reflects on the awkward bittersweet transition of returning to friendship after a romance ends,classified_batch_08.csv
40,APT.,ROSÉ & Bruno Mars,Celebration & Pleasure,Desire & Intimacy,Joy,2,High,New Love,Pleasure/Escapist,0,Joy/Celebration,Lyrics + Context,4,No,Upbeat playful party song built around a drinking game celebrating a flirtatious new connection,classified_batch_08.csv
41,Die with a Smile,Lady Gaga & Bruno Mars,Romantic Love & Devotion,Hope/Healing/Resilience,Longing,1,High,Stable Love,Constructive/Encouraging,1,Love/Commitment,Lyrics + Context,4,No,Song portrays devoted love as a source of comfort and meaning even facing the end of the world,classified_batch_09.csv
42,Ordinary,Alex Warren,Romantic Love & Devotion,Hope/Healing/Resilience,Hope,2,Mixed,New Love,Constructive/Encouraging,1,Love/Commitment,Context Only,2,Yes,Song describes a transformative love that lifts the narrator out of a jaded ordinary existence,classified_batch_09.csv
43,Beautiful Things,Benson Boone,Romantic Love & Devotion,Heartbreak & Loss,Anxiety,-1,Low,Stable Love,Ambiguous/Mixed,0,Love/Commitment,Context Only,2,Yes,Song expresses anxious gratitude and fear of losing newfound love and good fortune,classified_batch_09.csv
44,Lose Control,Teddy Swims,Desire & Intimacy,Pain/Numbness/Escapism,Desire,0,Low,Desire,Ambiguous/Mixed,-1,Desire/Pleasure,Context Only,2,Yes,Song describes an intense uncontrollable attraction the narrator cannot resist despite trying to move on,classified_batch_09.csv
45,That's So True,Gracie Abrams,Heartbreak & Loss,Conflict/Revenge/Defiance,Mixed,-1,Mixed,Separation,Critical/Reflective,0,Confusion/Instability,Context Only,2,Yes,Song processes heartbreak and frustration after relating strongly to another song about a past relationship,classified_batch_09.csv
46,Espresso,Sabrina Carpenter,Confidence/Boldness/Pride,Celebration & Pleasure,Confidence,2,High,Desire,Pleasure/Escapist,0,Self-Worth,Lyrics + Context,4,No,Playful confident song celebrating the narrator being irresistible and effortlessly captivating to others,classified_batch_10.csv
47,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",Confidence/Boldness/Pride,Identity & Self-Discovery,Confidence,2,High,No Romantic/Intimate Focus,Constructive/Encouraging,2,Self-Worth,Lyrics + Context,3,Yes,Anthem about embracing identity and inner strength after hiding parts of oneself to become empowered,classified_batch_10.csv
